x-axis,1,2
second,Volt,Volt
-4.4160E-03,+2.4126570E+00,+2.2629711E+00
-4.4060E-03,+2.4142273E+00,+2.2579460E+00
-4.3960E-03,+2.4104585E+00,+2.2620289E+00
-4.3860E-03,+2.4104585E+00,+2.2651696E+00
-4.3760E-03,+2.4154836E+00,+2.2679962E+00
-4.3660E-03,+2.4255339E+00,+2.2632851E+00
-4.3560E-03,+2.4205087E+00,+2.2657977E+00
-4.3460E-03,+2.4088881E+00,+2.2730213E+00
-4.3360E-03,+2.4104585E+00,+2.2830716E+00
-4.3260E-03,+2.4255339E+00,+2.2830716E+00
-4.3160E-03,+2.4255339E+00,+2.2830716E+00
-4.3060E-03,+2.4205087E+00,+2.2780465E+00
-4.2960E-03,+2.4154836E+00,+2.2780465E+00
-4.2860E-03,+2.4154836E+00,+2.2679962E+00
-4.2760E-03,+2.4154836E+00,+2.2679962E+00
-4.2660E-03,+2.4104585E+00,+2.2629711E+00
-4.2560E-03,+2.4154836E+00,+2.2629711E+00
-4.2460E-03,+2.4205087E+00,+2.2579460E+00
-4.2360E-03,+2.4255339E+00,+2.2579460E+00
-4.2260E-03,+2.4205087E+00,+2.2657977E+00
-4.2160E-03,+2.4205087E+00,+2.2629711E+00
-4.2060E-03,+2.4255339E+00,+2.2629711E+00
-4.1960E-03,+2.4255339E+00,+2.2629711E+00
-4.1860E-03,+2.4211369E+00,+2.2679962E+00
-4.1760E-03,+2.4205087E+00,+2.2635992E+00
-4.1660E-03,+2.4230213E+00,+2.2629711E+00
-4.1560E-03,+2.4164258E+00,+2.2689384E+00
-4.1460E-03,+2.4110866E+00,+2.2730213E+00
-4.1360E-03,+2.4154836E+00,+2.2651696E+00
-4.1260E-03,+2.4255339E+00,+2.2629711E+00
-4.1160E-03,+2.4205087E+00,+2.2673681E+00
-4.1060E-03,+2.4104585E+00,+2.2780465E+00
-4.0960E-03,+2.4117148E+00,+2.2830716E+00
-4.0860E-03,+2.4205087E+00,+2.2830716E+00
-4.0760E-03,+2.4255339E+00,+2.2711369E+00
-4.0660E-03,+2.4239635E+00,+2.2764761E+00
-4.0560E-03,+2.4154836E+00,+2.2827575E+00
-4.0460E-03,+2.4186243E+00,+2.2796168E+00
-4.0360E-03,+2.4154836E+00,+2.2811872E+00
-4.0260E-03,+2.4154836E+00,+2.2830716E+00
-4.0160E-03,+2.4189384E+00,+2.2780465E+00
-4.0060E-03,+2.4223932E+00,+2.2780465E+00
-3.9960E-03,+2.4205087E+00,+2.2830716E+00
-3.9860E-03,+2.4142273E+00,+2.2880967E+00
